[Published: 2024-08-31]

**ARN:** Dekhein jab aap kisi company mein ek share khareed lete hain to aap uske owner ke barabar uski aapki partnership ho jati hai.

**Furqan:** Kachra stock zyada tezi se barhta hai.

**ARN:** Sahi.

**Furqan:** Toh humein retail investor ko lagta hai ke yaar ye company chhupi hui thi.

**ARN:** Log kya karte hain price fluctuation se andaza lagate hain ke ye company acchi ja rahi hai ya buri ja rahi hai.

**Furqan:** Kya log isi tarah darr ke bhaagein ge ya portfolio mein mere abba ki tarah UniCap Modaraba reh jaye ga? Jo ke 6 rupay ki cheez thi aur 60 paise mein bhi nahi bik rahi thi.

**ARN:** Stock market se start hui hai aur jaise jaise aapke paas capital aata rehta hai, aap puri puri companies bhi khareed lete ho.

**Furqan:** Yes.

**ARN:** Paanch hazar hi agar aap har mahine save karte rahein ge for the next 25 years toh ye 15 lakh rupay bante hain.

**Furqan:** Takaful ho, insurance ho, that is your protection.

**ARN:** Bhai, Warren Buffett bhi kehta hai ke, "the best investment is that you can make in yourself".

**Furqan:** 50,000 ka monthly expense hai, lakh rupay pakarte hain aasan ho jaye ga, lakh rupay ka monthly expense hai aapka, aapke paas 20 saal ka runway hona chahiye.

**ARN:** Assalam-o-Alaikum everyone, this is Abdul Rehman aur aaj hum aapke liye ek bohat hi zabardast podcast lekar aaye hain, jis mein hum investing bhi discuss karein ge aur ek retail investor ki kya journey honi chahiye uske baare mein bhi bohat zyada aapko valuable content nazar aaye ga. Hamare saath maujood hain Furqan, he needs no introduction. Hum dono aur saath hamare jo teesre participant hain wo prefer karte hain ke wo parde ke peeche hi rahein but aaj humne unko koshish ki hai ke aapke saath pehli dafa lekar aayein on live screen, toh over to you Fire Chaser.

**Fire Chaser:** Assalam-o-Alaikum everyone.

**Furqan:** Wa Alaikum Assalam.

**Fire Chaser:** Aaj mein jo hoon bara khush hoon kyunki aaj mein apne do behtareen mentors ke saath betha hua hoon aur plan ye tha ke in dono ko ek jagah jama karke aur hum teeno kuch jo hai zabardast tareeqe ki guftagu karein, kuch investment ke baare mein, kuch financial literacy ke baare mein baat karein, aur aakhir kar jo hai wo aisa maamla ban gaya ke hum ek jagah baith payein aur humne socha jab bethein hain to isko record kar lein aur record karke aap logon ko suna bhi dein. Accha, jab mein ne apni journey shuru kari thi na toh mein ne bohat saare logon ke saath one-to-one calls karein, bohat saare logon ke saath. Kuch paid theen, kuch free theen lekin do log aise thay jin ke upar na mein stuck kar gaya aur wo thay tum dono. Toh ab mein ek ek karke tum dono se poochna chahta hoon ke Furqan, yaar tum ne jo hai na InvestKaar shuru karne ke peeche kya soch thi tumhari? Kyun tum ne InvestKaar shuru kiya?

**Furqan:** Haan... Actually ye ye jo story thi na ye actually mere father ki thi. Meri jo journey start hui na ye retail investor ke sochne ke baare mein, wo shuru hui actually kuch saal pehle, kaafi saal pehle.

**Fire Chaser:** Acha.

